,Product,Price
0,b'                                WD BLACK P10 GAME DRIVE (PORTABLE) 4TB                            ',1950000
1,b'                                WD BLACK P10 GAME DRIVE (PORTABLE) 2TB                            ',1339000
2,b'                                ACER NITRO AN515-57-5534 2 (15.6/i5-11400H/16G/512G/RTX3050Ti/WIN11)                            ',15899000
3,b'                                Asus BR1100CKA-GJ0410T - Grey [Celeron N4500-4GB-SSD 128GB-W10]                            ',4799000
4,b'                                WD BLACK D10 GAME DRIVE 8TB                            ',4670000
5,b'                                WD BLACK P50 (SSD) - 2TB                            ',6450000
6,b'                                Asus TUF Dash F15 FX517ZE-I7R5B7T-O /Core i7-12650H/16GB/1TB SSD/RTX3050Ti 4GB/15.6\xe2\x80\xb3/Win 11 Home+OHS 2021/Off Black                            ',23532000
7,"b'                                LENOVO LEGION 5i BJID i7-11800H 16GB 512GB SSD RTX 3050 Ti 4GB WINDOWS 11 OHS 2021 15.6 inch  FHD IPS 300nits Anti-glare, 165Hz                            '",21999000
8,b'                                Asus TUF A15 FA506ICB-R735B6T-O11 /AMD Ryzen 7-4800H/8GB/512GB/VGA 4GB/15.6\xe2\x80\xb3/Win 11 Home+OHS 2019/Graphite Black                            ',16800000
9,b'                                Asus TUF Dash F15 FX517ZC-I735B8W-O /Core i7-12650H/16GB/1TB SSD/RTX3050 4GB/15.6\xe2\x80\xb3/Win 11 Home+OHS 2021/Moonlight White                            ',22422000
10,"b'                                ACER AN515-58-780Q [15.6"",i7-12700H,16G,512G,RTX3050,WIN11] NH.QFHSN.001                            '",17279000
11,"b'                                ACER Predator Helios 300 PH315-53-735F [15,6""/Intel i7-10750H/8GB/SSD 512GB/RTX2070/Windows 10/OPI]                            '",22765860
12,b'                                HP Victus 15-fa0008TX /Core i7-12700H/8GB/512GB SSD/RTX3050 4GB/15.6\xe2\x80\xb3/Win 11 Home+OHS 2021/Mica Silver                            ',19092000
13,b'                                ACER NITRO AN515-46-R8PD [15.6/R7-6800H/16G/512G/RTX 3060/WIN11]                            ',19579000
14,b'                                ACER NITRO AN515-46-R8YC [15.6/R7-6800H/16G/512G/RTX 3050/WIN11]                            ',15739000
15,b'                                ACER PH315-55-778R [15.6/i7-12700H/16G/1T/RTX 3060/W11] NH.QGPSN.002                            ',26999000
16,b'                                ACER LAPTOP NITRO AN515-58-55E6 15.6 INTEL GEN12 i5-12500H 8G 512G                            ',13945000
17,b'                                Alienware M15 R5 R7-5800H 16GB 512GB Nvidia RTX 3060 6GB Windows 10 + OHS 2019                            ',40480000
18,"b'                                Alienware M15 R6 [Ci7-11800H, 32GB, 1TB SSD, Nvidia RTX 3070 8GB, Windows 10, OHS 2019]                            '",51117500
19,"b'                                ACER NITRO 5 AN515-58-59X8 15.6"" GEN 12 i5-12500H 8G 512G RTX 3050 W11                            '",14999000
20,b'                                ACER NITRO AN515-58-76GJ [15.6/i7-12700H/16G/512G/RTX 3050Ti/WIN11]                            ',18239000
21,b'                                Laptop asus  FX506LI-I55TB6T-o                            ',14279000
22,b'                                ASUS ROG DESKTOP G10CE-7011516T3W                            ',24799000
23,b'                                ACER MONITOR 23.8 INCH NITRO XV242Y_P ERGO | 165Hz                            ',3325000
24,b'                                Laptop asus FX506IV-R9R6B6T-o                            ',20399000
25,b'                                Asus VivoBook Flip TP470EZ i7-1165G7                             ',16390000
26,b'                                laptop asus  FX506II-R75TB6T-o                            ',14999000
27,b'                                laptop asus   FX506LI-I75TB6T-o                            ',16115000
28,b'                                ASUS FX506II-R75TB6T-O                            ',15999000
29,"b'                                ASUS TUF F15 GAMING FX506LHB-I565B6T-O11 (15.6"",Intel\xc2\xae Core\xe2\x84\xa2 I5-10300H/GTX1650 V4G/8G/512G/BLACK/WIN11/OHS)                            '",12999000
30,b'                                Lenovo IdeaCentre Gaming5 14IOB6 i7-11700 8GB 256GB + 1TB Nvidia GTX 1650 SUPER 4GB Windows 11 OHS 2021 + Lenovo 23.8 G24-20 - 7BID                            ',21390000
31,b'                                Lenovo IdeaPad Gaming 3i 15IAH7-82S900F0ID /Core i7-12650H/8GB/512GB SSD/RTX3050 4GB/15.6\xe2\x80\xb3/Win 11 Home+OHS 2021/Onyx Grey                            ',17599000
32,b'                                Lenovo IdeaPad Gaming 3 15ARH7-82SB00B8ID /AMD Ryzen 5-6600H/8GB/512GB SSD/RTX3050 4GB/15.6\xe2\x80\xb3/Win 11 Home+OHS 2021/Onyx Grey                            ',16189000
33,b'                                Lenovo IdeaPad Gaming 3 15ARH7-82SB00B7ID /AMD Ryzen 7-6800H/8GB/512GB SSD/RTX3050 4GB/15.6\xe2\x80\xb3/Win 11 Home+OHS 2021/Onyx Grey                            ',17599000
34,b'                                Lenovo IdeaPad Gaming 3i 15IAH7-82S900F1ID /Core i5-12500H/8GB/512GB SSD/RTX3050 4GB/15.6\xe2\x80\xb3/Win 11 Home+OHS 2021/Onyx Grey                            ',15999000
35,b'                                Lenovo IdeaCentre Gaming5 14IOB6 i7-11700 8GB 512GB Nvidia GTX 1660 SUPER 6GB Windows 11 OHS 2021 + Lenovo 23.8 G24-20 - 8WID                            ',22500000
